PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 1;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);
1079.;PRIM;  85.00 %;  85.00 %;
1080.;PSAB;  35.00 %;  35.00 %;
1081.;PTMP;  45.00 %;  45.00 %;
1082.;RDTX;  85.00 %;  85.00 %;
1083.;SAPX;  85.00 %;  85.00 %;
1084.;SIPD; 100.00 %; 100.00 %;
1085.;SMBR;  40.00 %;  40.00 %;
1086.;SMGR;  15.00 %;  15.00 %;
1087.;SMMA;  85.00 %;  85.00 %;
1088.;TBLA;  25.00 %;  25.00 %;
1089.;TIRA;  85.00 %;  85.00 %;
1090.;TOOL;  85.00 %;  85.00 %;
1091.;TRST;  95.00 %;  95.00 %;
1092.;UNTD;  30.00 %;  30.00 %;
1093.;URBN; 100.00 %; 100.00 %;
1094.;UVCR;  60.00 %;  60.00 %;
1095.;VERN;  35.00 %;  35.00 %;
1096.;VISI;  65.00 %;  65.00 %;
1097.;VKTR;  60.00 %;  60.00 %;
1098.;WAPO;  95.00 %;  95.00 %;
1099.;YOII;  20.00 %;  20.00 %;
1100.;YULE;  85.00 %;  85.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 23;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


1101.;BTON; 100.00 %; 100.00 %;
1102.;DMND;  85.00 %;  85.00 %;
1103.;IKAN;  95.00 %;  95.00 %;
1104.;MAPB;  85.00 %;  85.00 %;
1105.;MASB; 100.00 %; 100.00 %;
1106.;MRAT;  50.00 %;  50.00 %;
1107.;SIPD; 100.00 %; 100.00 %;
1108.;MAXI; 100.00 %; 100.00 %;
1109.;ANJT;  40.00 %;  40.00 %;
1110.;ADMF;  20.00 %;  20.00 %;
1111.;BAIK;  85.00 %;  85.00 %;
1112.;BAYU;  85.00 %;  85.00 %;
1113.;BDKR;  50.00 %;  50.00 %;
1114.;BESS;  95.00 %;  95.00 %;
1115.;CGAS;  90.00 %;  90.00 %;
1116.;FORE;  75.00 %;  75.00 %;
1117.;LPKR;  35.00 %;  35.00 %;
1118.;MBAP;  45.00 %;  45.00 %;
1119.;MBMA;  20.00 %;  20.00 %;
1120.;MDLN; 100.00 %; 100.00 %;
1121.;NICE;  45.00 %;  45.00 %;
1122.;NRCA;  85.00 %;  85.00 %;
1123.;PDPP;  20.00 %;  20.00 %;
1124.;RAAM;  90.00 %;  90.00 %;
1125.;SKRN;  85.00 %;  85.00 %;
1126.;SMLE;  65.00 %;  65.00 %;
1127.;TAPG;  30.00 %;  30.00 %;
1128.;INPS; 100.00 %; 100.00 %;
1129.;ADMG;  85.00 %;  85.00 %;
1130.;AKRA;  15.00 %;  15.00 %;
1131.;PICO;  55.00 %;  55.00 %;
1132.;ALDO;  85.00 %;  85.00 %;
1133.;ARNA;  25.00 %;  25.00 %;
1134.;ARTA;  95.00 %;  95.00 %;
1135.;ASBI;  85.00 %;  85.00 %;
1136.;ASGR;  10.00 %;  10.00 %;
1137.;ASII;   5.00 %;   5.00 %;
1138.;BBNI;   5.00 %;   5.00 %;
1139.;BBRI;   5.00 %;   5.00 %;
1140.;BBTN;  20.00 %;  20.00 %;
1141.;BDMN;  25.00 %;  25.00 %;
1142.;BINO;  85.00 %;  85.00 %;
1143.;BJBR;  15.00 %;  15.00 %;
1144.;BJTM;  15.00 %;  15.00 %;
1145.;BKSL;  70.00 %;  70.00 %;
1146.;BMRI;   5.00 %;   5.00 %;
1147.;BNII;  85.00 %;  85.00 %;
1148.;BOLA;  85.00 %;  85.00 %;
1149.;BRNA;  85.00 %;  85.00 %;
1150.;BRPT;  30.00 %;  30.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 24;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


1151.;BSIM;  85.00 %;  85.00 %;
1152.;BTPS;  20.00 %;  20.00 %;
1153.;BUAH;  85.00 %;  85.00 %;
1154.;BUVA;  85.00 %;  85.00 %;
1155.;CARE;  85.00 %;  85.00 %;
1156.;CARS;  45.00 %;  45.00 %;
1157.;CBDK; 100.00 %; 100.00 %;
1158.;CCSI;  95.00 %;  95.00 %;
1159.;CLEO;  25.00 %;  25.00 %;
1160.;CMNT;  85.00 %;  85.00 %;
1161.;CPIN;  15.00 %;  15.00 %;
1162.;CSRA;  45.00 %;  45.00 %;
1163.;CTRA;  20.00 %;  20.00 %;
1164.;DMAS;  20.00 %;  20.00 %;
1165.;DOID;  85.00 %;  85.00 %;
1166.;DOSS;  75.00 %;  75.00 %;
1167.;ECII;  70.00 %;  70.00 %;
1168.;ELIT;  70.00 %;  70.00 %;
1169.;ELSA;  25.00 %;  25.00 %;
1170.;ERAA;  20.00 %;  20.00 %;
1171.;EXCL;  15.00 %;  15.00 %;
1172.;FPNI;  85.00 %;  85.00 %;
1173.;GGRM;  15.00 %;  15.00 %;
1174.;GOTO;  30.00 %;  30.00 %;

(last page);
