PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 1;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);
223.;KPAS; 100.00 %; 100.00 %;
224.;MAPI;  20.00 %;  20.00 %;
225.;RMBA; 100.00 %; 100.00 %;
226.;SBMA-W;  90.00 %;  90.00 %;
227.;BNGA;  20.00 %;  20.00 %;
228.;IDEA; 100.00 %; 100.00 %;
229.;MYTX; 100.00 %; 100.00 %;
230.;RUNS; 100.00 %; 100.00 %;
231.;TOTL;  20.00 %;  20.00 %;
232.;WEHA;  50.00 %;  50.00 %;
233.;SWID-W;  80.00 %;  80.00 %;
234.;KRYA-W;  75.00 %;  75.00 %;
235.;CSMI; 100.00 %; 100.00 %;
236.;DYAN;  30.00 %;  30.00 %;
237.;INCF; 100.00 %; 100.00 %;
238.;IPTV; 100.00 %; 100.00 %;
239.;KONI; 100.00 %; 100.00 %;
240.;MASA; 100.00 %; 100.00 %;
241.;MEDS; 100.00 %; 100.00 %;
242.;MEGA;  85.00 %;  85.00 %;
243.;MENN; 100.00 %; 100.00 %;
244.;MLPT; 100.00 %; 100.00 %;
245.;MPRO; 100.00 %; 100.00 %;
246.;MSIN; 100.00 %; 100.00 %;
247.;MTPS; 100.00 %; 100.00 %;
248.;OMRE; 100.00 %; 100.00 %;
249.;PADA; 100.00 %; 100.00 %;
250.;PCAR; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 6;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


251.;PEGE; 100.00 %; 100.00 %;
252.;POLA; 100.00 %; 100.00 %;
253.;POLL; 100.00 %; 100.00 %;
254.;POLU; 100.00 %; 100.00 %;
255.;TOYS; 100.00 %; 100.00 %;
256.;PTDU; 100.00 %; 100.00 %;
257.;RELI;  85.00 %;  85.00 %;
258.;SAMF; 100.00 %; 100.00 %;
259.;SINI; 100.00 %; 100.00 %;
260.;SOHO; 100.00 %; 100.00 %;
261.;SRAJ; 100.00 %; 100.00 %;
262.;SSTM; 100.00 %; 100.00 %;
263.;STTP;  85.00 %;  85.00 %;
264.;SUPR; 100.00 %; 100.00 %;
265.;SURE; 100.00 %; 100.00 %;
266.;TFAS; 100.00 %; 100.00 %;
267.;TGKA;  85.00 %;  85.00 %;
268.;UANG; 100.00 %; 100.00 %;
269.;VRNA;  85.00 %;  85.00 %;
270.;WICO; 100.00 %; 100.00 %;
271.;WIRG; 100.00 %; 100.00 %;
272.;YPAS; 100.00 %; 100.00 %;
273.;ZBRA; 100.00 %; 100.00 %;
274.;BAPA; 100.00 %; 100.00 %;
275.;CBRE; 100.00 %; 100.00 %;
276.;DIVA; 100.00 %; 100.00 %;
277.;DNAR; 100.00 %; 100.00 %;
278.;IBST; 100.00 %; 100.00 %;
279.;IRSX; 100.00 %; 100.00 %;
280.;KOIN; 100.00 %; 100.00 %;
281.;PBRX; 100.00 %; 100.00 %;
282.;PTSP; 100.00 %; 100.00 %;
283.;RODA; 100.00 %; 100.00 %;
284.;TGRA; 100.00 %; 100.00 %;
285.;WMPP; 100.00 %; 100.00 %;
286.;WMUU; 100.00 %; 100.00 %;
287.;WSKT; 100.00 %; 100.00 %;
288.;RELF; 100.00 %; 100.00 %;
289.;BYAN;  85.00 %;  85.00 %;
290.;AKSI; 100.00 %; 100.00 %;
291.;CUAN; 100.00 %; 100.00 %;
292.;KOBX;  85.00 %;  85.00 %;
293.;NISP;  15.00 %;  15.00 %;
294.;PSKT; 100.00 %; 100.00 %;
295.;SAGE; 100.00 %; 100.00 %;
296.;WOOD;  25.00 %;  25.00 %;
297.;GRPM; 100.00 %; 100.00 %;
298.;WIDI; 100.00 %; 100.00 %;
299.;MINA;  85.00 %;  85.00 %;
300.;SMDM; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 7;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


301.;NELY;  40.00 %;  40.00 %;
302.;AGAR; 100.00 %; 100.00 %;
303.;PIPA; 100.00 %; 100.00 %;
304.;PRAS; 100.00 %; 100.00 %;
305.;MSIE; 100.00 %; 100.00 %;
306.;TPMA;  40.00 %;  40.00 %;
307.;VINS;  85.00 %;  85.00 %;
308.;AEGS; 100.00 %; 100.00 %;
309.;BYAN;  85.00 %;  85.00 %;
310.;DOOH; 100.00 %; 100.00 %;
311.;ESIP; 100.00 %; 100.00 %;
312.;GJTL;  40.00 %;  40.00 %;
313.;TLDN;  85.00 %;  85.00 %;
314.;HUMI; 100.00 %; 100.00 %;
315.;ADMR;  65.00 %;  65.00 %;
316.;KKES; 100.00 %; 100.00 %;
317.;LPPF;  85.00 %;  85.00 %;
318.;MFMI; 100.00 %; 100.00 %;
319.;LOPI; 100.00 %; 100.00 %;
320.;ASHA; 100.00 %; 100.00 %;
321.;BHIT; 100.00 %; 100.00 %;
322.;BNBR; 100.00 %; 100.00 %;
323.;HAIS;  30.00 %;  30.00 %;
324.;LPIN; 100.00 %; 100.00 %;
325.;NSSS; 100.00 %; 100.00 %;
326.;PTPP;  30.00 %;  30.00 %;
327.;PBID;  30.00 %;  30.00 %;
328.;POLI; 100.00 %; 100.00 %;
329.;TALF;  85.00 %;  85.00 %;
330.;BLTZ; 100.00 %; 100.00 %;
331.;GTSI; 100.00 %; 100.00 %;
332.;IATA; 100.00 %; 100.00 %;
333.;ICON; 100.00 %; 100.00 %;
334.;JATI; 100.00 %; 100.00 %;
335.;NPGF; 100.00 %; 100.00 %;
